Type,Buy Amount,Buy Cur.,Sell Amount,Sell Cur.,Fee Amount (optional),Fee Cur. (optional),Exchange (optional),Trade Group (optional),Comment (optional),Date,Tx-ID
"Withdrawal","","","0.23446433000000","DFI","","","DeFiChain Light Wallet","","sent","2021-12-21T06:37:07", "DFI20211221063707_sent"
"Deposit","0.23446212000000","DFI","","","","","DeFiChain Light Wallet","","receive","2021-12-21T06:37:07", "DFI20211221063707_receive"
"Mining","0.00000249000000","BTC","","","","","DeFiChain Light Wallet","","Commission","2021-12-21T00:01:00", "BTC20211221000100_Commission"
"Mining","6.60283655000000","DFI","","","","","DeFiChain Light Wallet","","Rewards","2021-12-21T00:01:00", "DFI20211221000100_Rewards"
"Mining","0.04881838000000","DFI","","","","","DeFiChain Light Wallet","","Commission","2021-12-21T00:01:00", "DFI20211221000100_Commission"
"Mining","0.00000484000000","BTC","","","","","DeFiChain Light Wallet","","Commission","2021-12-20T00:01:00", "BTC20211220000100_Commission"
"Mining","6.71790908000000","DFI","","","","","DeFiChain Light Wallet","","Rewards","2021-12-20T00:01:00", "DFI20211220000100_Rewards"
"Mining","0.11095522000000","DFI","","","","","DeFiChain Light Wallet","","Commission","2021-12-20T00:01:00", "DFI20211220000100_Commission"
"Withdrawal","","","12.79387496000000","DFI","","","DeFiChain Light Wallet","DepositToVault - Withdraw from DefiChain Wallet","DepositToVault","2021-12-19T22:27:07", "1_DFI20211219222707"
"Deposit","12.79387496000000","DFI","","","","","DeFiChain Light Wallet - Vault","DepositToVault - Deposit to Vault Wallet","DepositToVault","2021-12-19T22:27:07", "2_DFI20211219222707"
"Withdrawal","","","0.23446655000000","DFI","","","DeFiChain Light Wallet","","sent","2021-12-19T22:27:07", "DFI20211219222707_sent"
"Deposit","0.23446433000000","DFI","","","","","DeFiChain Light Wallet","","receive","2021-12-19T22:27:07", "DFI20211219222707_receive"
"Mining","0.00000260000000","BTC","","","","","DeFiChain Light Wallet","","Commission","2021-12-19T00:01:00", "BTC20211219000100_Commission"
"Mining","6.67067854000000","DFI","","","","","DeFiChain Light Wallet","","Rewards","2021-12-19T00:01:00", "DFI20211219000100_Rewards"
"Mining","0.10642503000000","DFI","","","","","DeFiChain Light Wallet","","Commission","2021-12-19T00:01:00", "DFI20211219000100_Commission"
"Withdrawal","","","3.00000000000000","DFI","","","DeFiChain Light Wallet","DepositToVault - Withdraw from DefiChain Wallet","DepositToVault","2021-12-18T00:42:06", "1_DFI20211218004206"
"Deposit","3.00000000000000","DFI","","","","","DeFiChain Light Wallet - Vault","DepositToVault - Deposit to Vault Wallet","DepositToVault","2021-12-18T00:42:06", "2_DFI20211218004206"
"Withdrawal","","","0.23446877000000","DFI","","","DeFiChain Light Wallet","","sent","2021-12-18T00:42:06", "DFI20211218004206_sent"
"Deposit","0.23446655000000","DFI","","","","","DeFiChain Light Wallet","","receive","2021-12-18T00:42:06", "DFI20211218004206_receive"
"Withdrawal","","","0.00174374000000","BTC","","","DeFiChain Light Wallet","DepositToVault - Withdraw from DefiChain Wallet","DepositToVault","2021-12-18T00:41:01", "1_BTC20211218004101"
"Deposit","0.00174374000000","BTC","","","","","DeFiChain Light Wallet - Vault","DepositToVault - Deposit to Vault Wallet","DepositToVault","2021-12-18T00:41:01", "2_BTC20211218004101"
"Deposit","0.23446877000000","DFI","","","","","DeFiChain Light Wallet","","receive","2021-12-18T00:41:01", "DFI20211218004101_receive"
"Withdrawal","","","0.23447099000000","DFI","","","DeFiChain Light Wallet","","sent","2021-12-18T00:41:01", "DFI20211218004101_sent"
"Mining","0.00000195000000","BTC","","","","","DeFiChain Light Wallet","","Commission","2021-12-18T00:01:00", "BTC20211218000100_Commission"
"Mining","6.61530246000000","DFI","","","","","DeFiChain Light Wallet","","Rewards","2021-12-18T00:01:00", "DFI20211218000100_Rewards"
"Mining","0.04640044000000","DFI","","","","","DeFiChain Light Wallet","","Commission","2021-12-18T00:01:00", "DFI20211218000100_Commission"
"Trade","0.44763435","BTC-DFI","0.00798556000000","BTC","","","DeFiChain Light Wallet","Add Liquidity","Trade 1 ","2021-12-17T19:59:58", "1BTC-DFI20211217195958"
"Trade","0.44763435","BTC-DFI","100.40766940000000","DFI","","","DeFiChain Light Wallet","Add Liquidity","Trade 2 ","2021-12-17T19:59:58", "1BTC-DFI20211217195958"
"Withdrawal","","","0.23447331000000","DFI","","","DeFiChain Light Wallet","","sent","2021-12-17T19:59:58", "DFI20211217195958_sent"
"Deposit","0.23447099000000","DFI","","","","","DeFiChain Light Wallet","","receive","2021-12-17T19:59:58", "DFI20211217195958_receive"
"Withdrawal","","","100.00000000000000","DFI","","","DeFiChain Light Wallet - Vault","WithdrawFromVault - Withdraw from Vault Wallet","WithdrawFromVault","2021-12-17T19:54:22", "1_DFI20211217195422"
"Deposit","100.00000000000000","DFI","","","","","DeFiChain Light Wallet","WithdrawFromVault - Deposit to DeFiChain Wallet","WithdrawFromVault","2021-12-17T19:54:22", "2_DFI20211217195422"
"Withdrawal","","","0.23447553000000","DFI","","","DeFiChain Light Wallet","","sent","2021-12-17T19:54:22", "DFI20211217195422_sent"
"Deposit","0.23447331000000","DFI","","","","","DeFiChain Light Wallet","","receive","2021-12-17T19:54:22", "DFI20211217195422_receive"
"Withdrawal","","","0.01000000000000","BTC","","","DeFiChain Light Wallet","DepositToVault - Withdraw from DefiChain Wallet","DepositToVault","2021-12-17T19:53:04", "1_BTC20211217195304"
"Deposit","0.01000000000000","BTC","","","","","DeFiChain Light Wallet - Vault","DepositToVault - Deposit to Vault Wallet","DepositToVault","2021-12-17T19:53:04", "2_BTC20211217195304"
"Deposit","0.23447553000000","DFI","","","","","DeFiChain Light Wallet","","receive","2021-12-17T19:53:04", "DFI20211217195304_receive"
"Withdrawal","","","0.23447775000000","DFI","","","DeFiChain Light Wallet","","sent","2021-12-17T19:53:04", "DFI20211217195304_sent"
"Trade","0.024882065","BTC-DFI","5.52619840000000","DFI","","","DeFiChain Light Wallet","Add Liquidity","Trade 1 ","2021-12-17T12:26:43", "1BTC-DFI20211217122643"
"Trade","0.024882065","BTC-DFI","0.00044830000000","BTC","","","DeFiChain Light Wallet","Add Liquidity","Trade 2 ","2021-12-17T12:26:43", "1BTC-DFI20211217122643"
"Deposit","0.23447775000000","DFI","","","","","DeFiChain Light Wallet","","receive","2021-12-17T12:26:43", "DFI20211217122643_receive"
"Withdrawal","","","0.23448008000000","DFI","","","DeFiChain Light Wallet","","sent","2021-12-17T12:26:43", "DFI20211217122643_sent"
